Sanmenxia,2213000,People's Republic of China,http://www.wikidata.org/entity/Q48
Medan,2210625,Indonesia,http://www.wikidata.org/entity/Q48
Konya,2205609,Turkey,http://www.wikidata.org/entity/Q46
Konya,2205609,Turkey,http://www.wikidata.org/entity/Q48
Paris,2204773,France,http://www.wikidata.org/entity/Q46
Ma'anshan,2202899,People's Republic of China,http://www.wikidata.org/entity/Q48
Indore,2201927,India,http://www.wikidata.org/entity/Q48
Suizhou,2200000,People's Republic of China,http://www.wikidata.org/entity/Q48
Houston,2195914,United States of America,http://www.wikidata.org/entity/Q49
Houston,2195914,United States of America,http://www.wikidata.org/entity/Q538
Pingliang,2190000,People's Republic of China,http://www.wikidata.org/entity/Q48
Quzhou,2185000,People's Republic of China,http://www.wikidata.org/entity/Q48
Hezhou,2184000,People's Republic of China,http://www.wikidata.org/entity/Q48
Baku,2181800,Azerbaijan,http://www.wikidata.org/entity/Q46
Baku,2181800,Azerbaijan,http://www.wikidata.org/entity/Q48
Huaibei,2158000,People's Republic of China,http://www.wikidata.org/entity/Q48
Xining,2154000,People's Republic of China,http://www.wikidata.org/entity/Q48
Basra,2150000,Iraq,http://www.wikidata.org/entity/Q48
Yan'an,2150000,People's Republic of China,http://www.wikidata.org/entity/Q48
Havana,2141652,Cuba,http://www.wikidata.org/entity/Q49
Ulanqab,2138200,People's Republic of China,http://www.wikidata.org/entity/Q48
Mogadishu,2120000,Somalia,http://www.wikidata.org/entity/Q15
Jincheng,2120000,People's Republic of China,http://www.wikidata.org/entity/Q48
Haiphong,2103500,Vietnam,http://www.wikidata.org/entity/Q48
Rawalpindi,2098231,Pakistan,http://www.wikidata.org/entity/Q48
Kumasi,2069350,Ghana,http://www.wikidata.org/entity/Q15
Vadodara,2065771,India,http://www.wikidata.org/entity/Q48
Puning,2055552,People's Republic of China,http://www.wikidata.org/entity/Q48
Haikou,2046189,People's Republic of China,http://www.wikidata.org/entity/Q48
Perth,2039200,Australia,http://www.wikidata.org/entity/Q538
Visakhapatnam,2035922,India,http://www.wikidata.org/entity/Q48
Gaziantep,2028563,Turkey,http://www.wikidata.org/entity/Q46
Gaziantep,2028563,Turkey,http://www.wikidata.org/entity/Q48
Bamako,2009109,Mali,http://www.wikidata.org/entity/Q15
Şanlıurfa,1985753,Turkey,http://www.wikidata.org/entity/Q46
Şanlıurfa,1985753,Turkey,http://www.wikidata.org/entity/Q48
West Berlin,1984837,Allied-occupied Germany,http://www.wikidata.org/entity/Q46
Quito,1978376,Ecuador,http://www.wikidata.org/entity/Q18
Minsk,1974800,Belarus,http://www.wikidata.org/entity/Q46
Kananga,1971704,Democratic Republic of the Congo,http://www.wikidata.org/entity/Q15
Peshawar,1970042,Pakistan,http://www.wikidata.org/entity/Q48
Sapporo,1958756,Japan,http://www.wikidata.org/entity/Q48
Jixi,1950000,People's Republic of China,http://www.wikidata.org/entity/Q48
Caracas,1945901,Venezuela,http://www.wikidata.org/entity/Q18
Fuxin,1930000,People's Republic of China,http://www.wikidata.org/entity/Q48
Hargeisa,1900000,Somalia,http://www.wikidata.org/entity/Q15
Hargeisa,1900000,Somaliland,http://www.wikidata.org/entity/Q15
Blantyre,1895973,Malawi,http://www.wikidata.org/entity/Q15
Wuwei,1890000,People's Republic of China,http://www.wikidata.org/entity/Q48
Tainan,1883831,Taiwan,http://www.wikidata.org/entity/Q48
